instruction,context,response,category
"in sql , how can i filter tabl row base on a column condit ?",,select < column > from < tabl > where < column > == < condit >,general_qa
who were the ten best basebal player in the histori of the boston red sox ?,,1 . david ortiz 2 . ted william 3 . babe ruth 4 . cy young 5 . pedro martinez 6 . johnni peski 7 . carl yazstrzemski 8 . carlton fisk 9 . joe cronin 10 . mooki bett,brainstorm
what make the world go around ?,,"some say money make the world go around , other say it is love . it ha even been suggest that music is the fuel that make the world go around . these explan are howev base on human spiritu and need . as far as other live creatur are concern , the drive to surviv is what make the world go around . in realiti the world physic start go around itself , rotat around it axi , becaus of the way it wa form .",general_qa
who coin the phrase `` bike-shed '' and when ?,"the law of trivial is c. northcot parkinson 's 1957 argument that peopl within an organ commonli or typic give disproportion weight to trivial issu . [ 1 ] parkinson provid the exampl of a fiction committe whose job wa to approv the plan for a nuclear power plant spend the major of it time on discuss about rel minor but easy-to-grasp issu , such as what materi to use for the staff bicycl shed , while neglect the propos design of the plant itself , which is far more import and a far more difficult and complex task . the law ha been appli to softwar develop and other activ . [ 2 ] the term bicycle-sh effect , bike-sh effect , and bike-shed were coin base on parkinson 's exampl ; it wa popularis in the berkeley softwar distribut commun by the danish softwar develop poul-hen kamp in 1999 [ 3 ] and , due to that , ha sinc becom popular within the field of softwar develop gener . argument a bicycl shed the concept wa first present as a corollari of hi broader `` parkinson 's law '' spoof of manag . he dramat thi `` law of trivial '' with the exampl of a committe 's deliber on an atom reactor , contrast it to deliber on a bicycl shed . as he put it : `` the time spent on ani item of the agenda will be in invers proport to the sum [ of money ] involv . '' a reactor is so vastli expens and complic that an averag person can not understand it ( see ambigu avers ) , so one assum that those who work on it understand it . howev , everyon can visual a cheap , simpl bicycl shed , so plan one can result in endless discuss becaus everyon involv want to implement their own propos and demonstr person contribut . [ 4 ] after a suggest of build someth new for the commun , like a bike shed , problem aris when everyon involv argu about the detail . thi is a metaphor indic that it is not necessari to argu about everi littl featur base simpli on have the knowledg to do so . some peopl have comment that the amount of nois gener by a chang is invers proport to the complex of the chang . [ 3 ] the law of trivial is support by behaviour research . peopl tend to spend more time on small decis than they should , and less time on big decis than they should . a simpl explan is that dure the process of make a decis , one ha to assess whether enough inform ha been collect to make the decis . if peopl make mistak about whether they have enough inform , they will tend to stop too earli for big decis . the reason is that big decis requir collect inform for a long time . it leav more time to make a mistak ( and stop ) befor get enough inform . convers , for small decis , where peopl should stop earli , they may continu to ponder for too long by mistak . [ 5 ] relat principl and formul there are sever other principl , well-known in specif problem domain , which express a similar sentiment . wadler 's law , name for comput scientist philip wadler , [ 6 ] is a principl which assert that the bulk of discuss on programming-languag design center on syntax ( which , for purpos of the argument , is consid a solv problem ) , as oppos to semant . sayr 's law is a more gener principl , which hold ( among other formul ) that `` in ani disput , the intens of feel is invers proport to the valu of the issu at stake '' ; mani formul of the principl focu on academia .",the phrase `` bike-shed '' wa introduc in 1957 by c. northcot parkinson .,closed_qa
who is the best formula 1 driver,,"who is the best formula 1 driver ha been a hotli debat topic for decad with no decis winner . over the year there have been mani domin driver such as michael schumach , ayrton senna and lewi hamilton , howev who is ultim the best is difficult to determin . formula 1 car are such a critic part of who win or lose a race that distort who is truli the strongest driver . the question of who is the best formula 1 driver will undoubtedli continu on with each new gener of driver that enter the sport , howev clearli ayrton senna is the best .",general_qa
what is share capit in financ ?,,share capit is the money invest directli in a compani by it member ( sharehold ) .,open_qa
give me some mother 's day gift idea .,,the choic of mother 's day gift depend on who the gift-giv is . an adult child or spous might opt flower or jewelri . a young child may opt for a hand-mad card or a coupon to do a household chore ( e.g . clean the dish ) . a collect gift from multipl famili member could be breakfast in bed or a gift certif for a spa treatment .,general_qa
give me a list of way that a runner can advanc a base in basebal without there be a hit .,,"- the batter walk , forc the runner to advanc to the next base - the runner steal a base - the pitcher balk - there is a wild pitch that goe past the catcher",brainstorm
what are the type of rv ?,,"rv is an abbrevi for recreat vehicl . an rv is a motor vehicl or trailer that includ sleep quarter , kitchen facil and usual a bathroom . rv are a popular way to travel sinc they provid mani of the comfort of home while vacat . there are mani type of rv , includ class a , class b , class c , travel trailer , and truck camper .. class a rv are larg vehicl built on heavy-duti truck or bu chassi and look like larg buss . class b rv smaller are built within van chassi ( often call camper van ) . class c rv are built on van or pickup chassi but the back is cutaway and a larger structur is ad . travel trailer are camper that are tow behind a truck or car and can rang in size from veri small to veri larg . truck camper are carri in the bed of a pickup truck and provid a small , enclos sleep space . rv are veri popular in the unit state , with an estim 11m household own an rv .",general_qa
list the weapon of goddess durga in a comma separ manner .,"durga is a warrior goddess , and she is depict to express her martial skill . her iconographi typic reson with these attribut , where she ride a lion or a tiger , [ 2 ] ha between eight and eighteen hand , each hold a weapon to destroy and creat . [ 60 ] [ 61 ] she is often shown in the midst of her war with mahishasura , the buffalo demon , at the time she victori kill the demon forc . her icon show her in action , yet her face is calm and seren . [ 62 ] [ 63 ] in hindu art , thi tranquil attribut of durga 's face is tradit deriv from the belief that she is protect and violent not becaus of her hatr , egot or get pleasur in violenc , but becaus she act out of necess , for the love of the good , for liber of those who depend on her , and a mark of the begin of soul 's journey to creativ freedom . [ 63 ] [ 64 ] [ 65 ] durga tradit hold the weapon of variou male god of hindu mytholog , which they give her to fight the evil forc becaus they feel that she is shakti ( energi , power ) . [ 66 ] these includ the chakra , conch , bow , arrow , sword , javelin , trishula , shield , and a noos . [ 67 ] these weapon are consid symbol by shakta hindu , repres self-disciplin , selfless servic to other , self-examin , prayer , devot , rememb her mantra , cheer and medit . durga herself is view as the `` self '' within and the divin mother of all creation . [ 68 ] she ha been rever by warrior , bless their new weapon . [ 69 ] durga iconographi ha been flexibl in the hindu tradit , where for exampl some intellectu place a pen or other write implement in her hand sinc they consid their stylu as their weapon . [ 69 ]","chakra , conch , bow , arrow , sword , javelin , trishula , shield , a noos",information_extract
what shape are made up of straight line ?,,"squar , pentagon , rectangl , rhombu and triangl are exampl of shape made up onli of straight line .",brainstorm
"choos the word which is differ from the rest : hangar , platform , dock , park , bu stand",,all except park are place to await for transport,classif
are the smith a good band ?,,"the smith were one of the most critic acclaim band to come from england in the 1980 . typic classifi as an `` indi rock '' band , the band releas 4 album from 1984 until their breakup in 1987 . the band member , notabl morrissey and johnni marr , would go on to accomplish success solo career .",general_qa
what is an ev ?,,ev stand for electr vehicl . an electr vehicl is power by a batteri wherea the tradit vehicl or car is power by ga . the ev use a type of electr motor as oppos to an intern combust engin . the ev batteri can be charg by plug into an electr outlet . ev do not pollut the atmospher . they are eco-friendli . tesla motor pioneer the ev industri .,general_qa
"given a refer text about run toward the danger , tell me how mani essay are part of the collect .","run toward the danger is a 2022 canadian essay collect by sarah polley , a former child star , director , and screenwrit . the six essay in the collect examin aspect of polley 's career on stage , screen , and on film detail her role in a stratford festiv product of alic through the look glass , as well as her breakout role in the adventur of baron munchausen and the tv seri road to avonlea . the book also reveal for the first time that polley had been a victim of jian ghomeshi who sexual and physic assault her when she wa 16 and he wa 28 . [ 1 ]",six essay are part of the run toward the danger essay collect .,closed_qa
name 10 color,,"fuschia , magenta , orang , green , blue , red , yellow , chartreus , aquamarin , sienna",brainstorm
what is game of cricket ?,"cricket is a bat-and-bal game play between two team of eleven player on a field at the centr of which is a 22-yard ( 20-metr ) pitch with a wicket at each end , each compris two bail balanc on three stump . the bat side score run by strike the ball bowl at one of the wicket with the bat and then run between the wicket , while the bowl and field side tri to prevent thi ( by prevent the ball from leav the field , and get the ball to either wicket ) and dismiss each batter ( so they are `` out '' ) . mean of dismiss includ be bowl , when the ball hit the stump and dislodg the bail , and by the field side either catch the ball after it is hit by the bat , but befor it hit the ground , or hit a wicket with the ball befor a batter can cross the creas in front of the wicket . when ten batter have been dismiss , the inning end and the team swap role . the game is adjud by two umpir , aid by a third umpir and match refere in intern match . they commun with two off-field scorer who record the match 's statist inform .","cricket is a game play use a bat and a ball , with 11 player in each team . the surfac in the centr of cricket file is call pitch which is 22 yard long . the bat start with 2 player on the pitch , a batter and runner . bowl side choos a baller and rest of the 10 player are spread across the file to catch the ball . onc ten batter from bat side are dismiss , the other side get opportun to bat . the run are score by run between each end of the wicket and hit the ball outsid the boundari line of the file .",summar
how much of american wine is produc in california ?,,california is respons for roughli 90 % of american wine product,open_qa
"as a golfer , how can i fix my slice ?",,"a common swing fault in golfer is a slice which is caus when the face of the club is n't align properli to the swing path of the club . what will typic happen is at the time of impact , the face is open in relat to the target ( ie aim to the right if you are a right hand golfer ) and the swing path is close in relat to the target ( ie aim to the left if you are a left hand golfer ) . when there is a larg differ between the path of the swing and the face of the club , the impact will gener a high degre of later spin on the ball caus the flight of the ball to curv away from the target . here are some way to fix thi swing fault : 1 . grip the club with a stronger grip . thi mean the v form between your thumb and pointer finger on back hand is point to your rear shoulder and your opposit hand it also grip the club more from the back . thi will help you close the face of the club at impact . 2 . focu on keep the face close in the backsw . one fault mani amateur have is the club face open toward the sky on the backsw too far mean that the face will need to turn more on the downsw to get to squar at impact . creat less rotat on the backsw can help with thi . 3 . keep hip down and back in the downsw . one fault that can caus inconsist contact as well as a slice is when the hip thrust forward dure the downsw caus the golfer to lift up to counter be too close to the ball which can often caus an over the top , out-to-in swing path . tri to keep the hip back through the swing and focu on rotat the bodi to keep forward or later movement to a minimum . a slice is a veri common issu among golfer but know the caus and swing fault that lead to a slice can help you think about how you can improv your swing to fix it .",general_qa
who tend to particip in hackathon ?,"a hackathon ( also known as a hack day , hackfest , datathon or codefest ; a portmanteau of hack and marathon ) is an event where peopl engag in rapid and collabor engin over a rel short period of time such as 24 or 48 hour . they are often run use agil softwar develop practic , such as sprint-lik design wherein comput programm and other involv in softwar develop , includ graphic design , interfac design , product manag , project manag , domain expert , and other collabor intens on engin project , such as softwar engin . the goal of a hackathon is to creat function softwar or hardwar by the end of the event . [ 1 ] hackathon tend to have a specif focu , which can includ the program languag use , the oper system , an applic , an api , or the subject and the demograph group of the programm . in other case , there is no restrict on the type of softwar be creat or the design of the new system .","comput programm and other involv in softwar develop , includ graphic design , interfac design , product manag , project manag , domain expert , and other tend to particip in hackathon . they collabor intens on engin project , such as softwar engin with the goal of creat function softwar or hardwar by the end of the event .",closed_qa
which commun of user on twitter ha the most 8-dollar-a-month verif ?,,"from my limit experi , it 's the bitcoin bro who are the most will to pay elon musk 8 dollar a month for the useless verif blue check mark . what a doubl whammi !",brainstorm
"tell me whether these peopl are dj or singer : david guetta , avicii , rihanna , beyonc , martin garrix , calvin harri , taylor swift",,david guetta : dj avicii : dj rihanna : singer beyonc : singer martin garrix : dj calvin harri : dj taylor swift : singer,classif
what ’ s a typic dish in brazil ?,,"brazil ha a wide varieti of culinari option heavili base on meat , local fruit and fresh veget . one tradit dish is the “ feijoada ” , a black bean and sausag stew that is gener serv with rice , yucca flower and orang . anoth popular dish is the so call “ picanha ” , essenti the cap of the top sirloin .",general_qa
how should i invest my money ?,,"there are mani differ way to invest your money . you can leav it in a save account , high yield save account , stock market , real estat , bond , note , gold , silver , cryptocurr and mani other asset . each of the asset class come with differ level of risk . a divers portfolio ha advantag to a non-divers portfolio .",general_qa
where is the villag of congosto,"congosto ( spanish pronunci : [ koŋˈɡosto ] ) is a villag and municip locat in the region of el bierzo ( provinc of león , castil and león , spain ) . it is locat near to ponferrada , the capit of the region . the villag of congosto ha about 350 inhabit . it economi wa tradit base on agricultur , wine and coal mine . nowaday , most of the inhabit work on the surround area on activ such as wind turbin manufactur or coal mine . congosto also a larg reservoir in it vicin , the barcena reservoir , to which mani tourist visit dure the summer .","congosto is a villag and municip locat in the region of el bierzo ( provinc of leon , castil and leon , spain ) . it is locat near to ponferrada , the capit of the region . the villag of congosto ha about 350 inhabit . it economi wa tradit base on agricultur , wine and coal mine . nowaday , most of the inhabit work on the surround area on activ such as wind turbin manufactur or coal mine . congosto also a larg reservoir in it vicin , the barcena reservoir , to which mani tourist visit dure the summer .",summar
name the three best profession sport team base in california .,,"the best profession sport team base in california are the lo angel dodger , the golden state warrior , and the san francisco 49er .",open_qa
what is market autom ?,"market autom is a subset of custom relationship manag ( crm ) or custom experi manag ( cxm ) that focus on the definit , segment , schedul and track of market campaign . the use of market autom make process that would otherwis have been perform manual much more effici and make new process possibl . market autom can be defin as a process where technolog is use to autom sever repetit task that are undertaken on a regular basi in a market campaign . market autom platform allow market to autom and simplifi client commun by manag complex omnichannel market strategi from a singl tool . market autom assist greatli in area like lead gener , segment , lead nurtur and lead score , relationship market , cross-sel and upsel , retent , market roi measur . effect market autom tool leverag data from a separ or integr crm to understand custom impact and prefer .","market autom is softwar that help market to do creat effici onlin and offlin campaign . it 's part of crm suit and peopl usual integr it with their salesforc applic and market websit . the market autom platform allow market to autom and simplifi custom commun by manag multi commun channel . thi includ person email , dynam web page , digit banner , social media and more . peopl use it for lead gener , segment and nurtur and lead score . post-sal market also use market autom for cross-sel , upsel and retent market . in",closed_qa
what are some way to improv the valu of your home ?,,"there are sever thing you do can to increas the valu of your home . first , you can focu on what is known as `` curb appeal '' , essenti make the outsid and surround of your hous attract . ensur that the landscap is well maintain , fix ani broken door or window , and paint the outsid so that the hous doe not look dull . in the interior of your hous , the best place to focu will be in your bathroom and kitchen . further , you can replac major applianc and compon such as water heater , furnac , or the roof to increas the valu . anoth way to increas the valu of your home is by make it bigger . often , price for home is done by look at the area of the hous , so by ad on new room or extra space , you can also increas the overal valu of the hous .",brainstorm
tell me an idea for a film base off of the cartoon movi car but incorpor self-driv car .,,"a self-driv car name walter ( voic by will arnett ) is stuck drive drunk passeng around san francisco at all hour of the night tri to make end meet . he frequent ha pedestrian stare at him becaus he doe n't have a driver , kid draw graffiti on him , and passeng give him a bad review for be too cautiou while drive . walter dream of be a race car like the rich car he see on tik tok . they get to drive fast as sonoma raceway and race each other in front of stadium full of peopl while walter ha to follow the 30mph speed limit on sf street . walter find out that the race car life is n't all it 's crack up to be , and realiz over time to be happi with what he ha and that at least he is n't one of those ride-shar vehicl that ca n't drive themselv around town .",creative_writ
which american presid spoke dutch as their first languag ?,"van buren receiv a basic educ at the villag schoolhous , and briefli studi latin at the kinderhook academi and at washington seminari in claverack . van buren wa rais speak primarili dutch and learn english while attend school ; he is the onli presid of the unit state whose first languag wa not english . also dure hi childhood , van buren learn at hi father 's inn how to interact with peopl from vari ethnic , incom , and societ group , which he use to hi advantag as a polit organ . hi formal educ end in 1796 , when he began read law at the offic of peter silvest and hi son franci .",presid van buren spoke dutch as hi first languag . he is the onli presid of the unit state of america who spoke english as a second languag .,closed_qa
how mani planet are there ?,,"there are eight planet in our nativ solar system . we use to consid there to be nine , but then scientist decid that pluto doe n't fit the requir to be a planet . i do n't realli know what that is , but that 's what they decid . mercuri is the closest planet to the sun , and doe n't realli have an atmospher . venu is subject to a runaway greenhous effect . earth is where we live . mar is red , and slightli smaller than earth . we 've recent found evid of water there . the asteroid belt come next , which is n't realli a planet . follow the asteroid belt are the ga giant jupit , saturn , and uranu . they have ring . neptun come last . other solar system seem to have planet too - in fact thi appear to be far more common than we would have thought .",general_qa
help me come up with 3 idea for a new busi and how i can start it,,"there are mani busi you could think about creat . here are a few exampl : - servic : you can creat a firm that provid servic such as market , technic consult , or strateg advis . you can start thi busi by examin your profession expertis , build market materi , and network to find your first custom . - product : you can creat a product in a domain you 're passion about is a great way of start a busi . thi could be small scale boutiqu item such as candl or soap made at home and sold at local market or on a websit like etsi . thi could also includ someth mass manufactur , either contract out or involv signific capit expenditur in order to start develop . - train : you can start a train or educ program in an industri where you have expertis . there are onlin platform for host content and manag payment . you can also leverag social media in order to build a funnel of custom . there are mani differ potenti busi you might creat but servic , product , and train busi are good domain to examin as you look to start your busi .",brainstorm
tomb of sand wa translat from hindi to english by,,daisi rockwel,open_qa
"what is more import in societi , freedom or safeti ?",,"in our societi , freedom and safeti are both valu . while mani other countri may put safeti first , the harsh realiti for american is that freedom alway come befor safeti . despit be equal import , american foolishli put their trust in freedom over safeti , without realiz the danger of those freedom . the 2nd amend is a commonli danger to freedom . american are allow to own gun for self protect . howev , sinc the 18th centuri , gun have chang . instead of a rifl or shotgun , american own ari5 and other gun that can fire hundr of bullet per round . secur in america ha also increas leav peopl to question the need for a person weapon . often a result of have the freedom to easili buy and keep gun is school shoot . teen who are depress , lone , suicid , or crazi can easili buy or ise their parent gun to shoot and will other student , teacher , or themselv . in late 2022 , a six year old brought hi father 's hand gun to school and shot hi teacher . ye , the gun wa licens and own by the father but whi should ani us citizen or even person feel safe in thi countri when the 2nd amend exsit ? should anyon trust their freedom when it is easier to buy a gun than a car ? on the flip side , america 's freedom is a gift that mani other countri do n't give . in 2019 when covid-19 first immerg in china , the countri . went on lockdown , and in some citi , still remain so . by the third year of the pandem , american learn of the extrem measur the chines govern had taken upon it citizen , arrest those who left their home for ani reason , in the worst case . while china 's laid protocol were way too extrem , american over the pandem chose their freedom to not wear a mask over the safeti of themselv and other , again . to be clear , freedom and safeti are not opposit , and countri who manag both well are impress to be sure . but american are unwil , to a danger level , to let go of some or ani of their freedom , even if it will benefit the overal safeti of america . freedom , in america , is valu abov all , and could arguabl be our most identifi trait .",creative_writ
"given thi refer text about the consumpt of peanut butter , when is nation peanut butter day ?","the unit state is a lead export of peanut butter , and one of the largest consum of peanut butter annual per capita . [ 30 ] januari 24 is nation peanut butter day in the unit state . [ 31 ] in march 2020 dure the covid-19 pandem , retail sale of peanut butter in the unit state increas by 75 % over the level in march 2019 . [ 32 ] accord to jon krampner 's 2013 book on peanut butter , per capita consumpt of peanut butter in canada and the netherland – the largest consum per capita in europ – exceed that in the unit state . [ 33 ] in israel , the peanut-butter-flavor puffcorn snack bamba account for 25 % of the snack market ; [ 34 ] it consumpt by infant ha been link to a low incid of peanut allergi among isra . [ 35 ]",nation peanut butter day take place on januari 24th in the unit state .,closed_qa
what are good activ for two year old boy ?,,"two year old boy tend to be activ , curiou and social . enjoy activ for thi age includ go to the park , danc to music , read a book , and take a walk around the neighborhood . local commun organ also commonli plan activ for toddler at place like librari , school and park .",general_qa
how mani comput servic doe azur synaps have ?,,"azur synaps provid five differ comput servic : 1 . dedic sql pool ( previous known as `` synaps data warehous '' ) , 2 . serverless sql pool ( i.e . a queri servic over the data lake ) , 3 . data explor pool ( for real-tim & time seri process ) , 4 . spark pool ( microsoft 's version of spark ) , and 5 . pipelin ( a variant of adf )",open_qa
what doe fast mean ?,"fast is the abstent from eat and sometim drink . from a pure physiolog context , `` fast '' may refer to the metabol statu of a person who ha not eaten overnight ( see `` breakfast '' ) , or to the metabol state achiev after complet digest and absorpt of a meal . [ 1 ] metabol chang in the fast state begin after absorpt of a meal ( typic 3–5 hour after eat ) .",fast is the abstent from eat and sometim drink .,closed_qa
how mani time lewi hamilton won the f1 championship ?,,7 time,brainstorm
what happen when you bring flammabl object closer to a fire sourc or extrem heat ?,,flammabl object can becom inflam when place on or near a fire sourc or extrem heat . it recommend to keep flammabl object far away from heat sourc .,open_qa
give me a list of the last five european golden boot winner and tell me how mani goal they score .,,"1 . robert lewandowski , 2022-2021 , 35 goal 2 . robert lewandowski , 2021-2020 , 41 goal 3 . ciro immobil , 2020-2019 , 36 goal 4 . lionel messi , 2019-2018 , 36 goal 5 . lionel messi , 2018-2017 , 34 goal",brainstorm
"identifi which instrument is string or percuss : den-den daiko , luc huyen cam",,"luc huyen cam is string , den-den daiko is percuss .",classif
"pick if these would be use or not use for a high school student to put in their backpack . notebook , textbook , desk lamp , pencil pouch , beach ball , pillow , laptop .",,"notebook : use , textbook : use , desk lamp : not use , pencil pouch : use , beach ball : not use , pillow : not use , laptop : use .",classif
what is the largest citi on the mississippi river ?,"memphi is the fifth-most popul citi in the southeast , the nation 's 28th-largest overal , as well as the largest citi border the mississippi river and third largest metropolitan statist area behind saint loui , mo and the twin citi on the mississippi river . [ 7 ] the memphi metropolitan area includ west tennesse and the greater mid-south region , which includ portion of neighbor arkansa , mississippi and the missouri bootheel . one of the more histor and cultur signific citi of the southern unit state , memphi ha a wide varieti of landscap and distinct neighborhood .","saint loui , missouri is the largest citi on the mississippi river . twin citi is the second largest citi on the mississippi river and memphi is the third largest citi on the mississippi river .",information_extract
what is the citi of denver like ?,,"denver is a big citi , nestl directli to the east of the rocki mountain . mani peopl that live in denver are educ and have a friendli attitud . it is a famili friendli and dog friendli citi , with mani park , recreat activ and a lot of green space/trail . with the abund of green space , and 300 day of sunshin , denver provid mani opportun to have an activ lifestyl . some of the most popular activ includ hike , bike , rock climb and ski .",general_qa
provid a list of all number mention in the provid text and what they repres,"the ancestor of llama are thought to have origin from the great plain of north america about 40 million year ago , and subsequ migrat to south america about three million year ago dure the great american interchang . by the end of the last ice age ( 10,000–12,000 year ago ) , camelid were extinct in north america . [ 3 ] as of 2007 , there were over seven million llama and alpaca in south america and over 158,000 llama and 100,000 alpaca , descend from progenitor import late in the 20th centuri , in the unit state and canada . [ 5 ] in aymara mytholog , llama are import be . the heavenli llama is said to drink water from the ocean and urin as it rain . [ 6 ] accord to aymara eschatolog , llama will return to the water spring and lagoon where they come from at the end of time . [ 6 ]","40 million : the number of year ago when the ancestor of llama are thought to have origin from the great plain of north america three million : the number of year ago the ancestor of llama are thought to have migrat to south america dure the great american interchang 10,000–12,000 : the number of year ago camelid were extinct in north america 2007 : as of thi year , there were over seven million llama and alpaca in south america and over 158,000 llama and 100,000 alpaca , descend from progenitor import late in the 20th centuri , in the unit state and canada seven million : the number of llama and alpaca in south america as of 2007 158,000 : the number of llama in the unit state and canada , that descend from progenitor import late in the 20th centuri , as of 2007 100,000 : the number of alpaca in the unit state and canada , that descend from progenitor import late in the 20th centuri , as of 2007 20 : the centuri where progenitor were import to unit state and canada",information_extract
what are the differ between the new york giant and new york jet ?,,"the new york giant and new york jet are both profession footbal team in the nfl who play in the new york metropolitan area . both team play in metlif stadium which use to be call giant stadium in east rutherford , nj . their fan base live in new jersey and new york primarili . the jet primari color is green , while the giant are blue .",open_qa
wa furz hill an establish commun in the 19th centuri ?,"furz hill ( or furzehil ) is a hamlet situat in the new forest nation park of hampshir , england . it is in the civil parish of ellingham , harbridg and ibsley . it nearest town is fordingbridg , which lie approxim 3.1 mile ( 5.2 km ) north-west from the hamlet . furz hill is a hamlet in the civil parish of hyde . it is situat on low ground on either side of huckl brook on the south gorley to ogden road . the hous are surround by field and paddock . addit hous can be found at the southern edg of gorley common line a narrow track to north gorley . furz hill is the most recent settlement in the parish of hyde , becom an establish commun onli in the 20th centuri .","no , it wa not an establish commun until the 20th centuri .",closed_qa
should you buy new golf club when you are a beginn ?,,"it is recommend that you get custom fit for your golf club . howev , there are mani use golf club avail to purchas and it can be a great option if you are just explor the sport . you can also consid rent golf club from your local golf cours if you are not readi for the expens of buy new or use golf club .",brainstorm
whi should i use fabric soften ?,"machin wash put great mechan stress on textil , particularli natur fiber such as cotton and wool . the fiber at the fabric surfac are squash and fray , and thi condit harden while dri the laundri in air , give the laundri a harsh feel . ad a liquid fabric soften to the final rins ( rinse-cycl soften ) result in laundri that feel softer . [ 2 ] [ 1 ]","machin wash put great mechan stress on textil , so ad a liquid fabric soften to the final rins result in laundri that feel softer .",information_extract
the former chairman of tata son die in road accid en rout from where ?,,ahmedabad to mumbai,open_qa
"pleas classifi each of the follow anim as mammal , amphibian , or fish : elk , frog , dog , cat , newt , and human .",,newt and frog are amphibian . the rest of the anim are mammal . you did not provid ani fish in your question .,classif
"classifi the follow number as 'prime ' or 'composit ' - 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9 , 10 , 11 , 12 , 13 , 14 , 15 , 16 .",,"'prime ' , 'prime ' , 'composit ' , 'prime ' , 'composit ' , 'prime ' , 'composit ' , 'composit ' , 'composit ' , 'prime ' , 'composit ' , 'prime ' , 'composit ' , 'composit ' , 'composit ' .",classif
summar the ruler of the territori of albania in thi time period .,"the illyrian ardiaei tribe , centr in montenegro , rule over most of the territori of albania . their ardiaean kingdom reach it greatest extent under king agron , the son of pleuratu ii . agron extend hi rule over other neighbour tribe as well . [ 38 ] follow agron 's death in 230 bc , hi wife , teuta , inherit the ardiaean kingdom . teuta 's forc extend their oper further southward to the ionian sea . [ 39 ] in 229 bc , rome declar war [ 40 ] on the kingdom for extens plunder roman ship . the war end in illyrian defeat in 227 bc . teuta wa eventu succeed by gentiu in 181 bc . [ 41 ] gentiu clash with the roman in 168 bc , initi the third illyrian war . the conflict result in roman conquest of the region by 167 bc . the roman split the region into three administr divis . [ 42 ]","king agron rule the territori of albania , follow by hi wife teuta from 230 bc , and then gentiu from 181 bc . the roman conquer the region in 167 bc .",summar
what is cloud comput in simpl term ?,,in simpl term cloud comput allow you to use preconfigur hardwar devic and softwar servic manag by somebodi els on internet . most case you pay onli for the resourc you use and it is veri easi to procur more as you need more servic . cloud comput make it easi to setup the technolog infrastructur at a low cost and scale as you grow .,general_qa
what is one year ?,,one earth year is the time it take for one revolut of the earth around the sun .,open_qa
what type of sport fish do most angler target in new england ?,,"there are mani type of game fish that angler target in new england . fresh water angler gener fish for larg mouth bass , small mouth bass and variou type of trout . children often learn to fish by catch sunfish . fish in the ocean in new england offer mani addit option to target includ stripe bass , black sea bass , bluefish , as well as much larger game fish like bluefin tuna , albacor , fals albacor , bonito , and mani speci of shark . each season produc differ fish , be sure to check with your local fish and game author to ensur you have the proper licens and which speci are abl to be target .",general_qa
give me a bunch of way i can keep my hous cool in the summer,,"- instal whole hous ac that 's integr with your heat system - buy an in-window unit to keep an individu room cool - instal a whole hous fan that pull in cool air from open window at night into live area and exhaust the hot air into the attic - place fan throughout the hous but place them in front of open window at night to pull in cool air - instal a swamp cooler , it 's sometim cheaper than instal a full ac system - make sure to close window and curtain in the morn hour after the hous cool down over night - get a cooler fill with ice and place a fan into it forc cold air into the room . the ice will melt fast so be readi to refil often . not the most effici but in a pinch it can help",brainstorm
what is wine ?,"wine is an alcohol drink typic made from ferment grape . yeast consum the sugar in the grape and convert it to ethanol and carbon dioxid , releas heat in the process . differ varieti of grape and strain of yeast are major factor in differ style of wine . these differ result from the complex interact between the biochem develop of the grape , the reaction involv in ferment , the grape 's grow environ ( terroir ) , and the wine product process . mani countri enact legal appel intend to defin style and qualiti of wine . these typic restrict the geograph origin and permit varieti of grape , as well as other aspect of wine product . wine can be made by ferment of other fruit crop such as plum , cherri , pomegran , blueberri , currant and elderberri .",wine is an alcohol drink typic made from ferment grape .,closed_qa
"are the follow item candi bar or gum : trident , twix , hubba bubba , snicker , three musket , and wrigley .",,"three musket , twix , and snicker are candi bar , and trident , hubba bubba , and wrigley are gum .",classif
what 's the relat between the kushan empir and the sassanid empir in iran ?,"the kushan empir wa a syncret empir , form by the yuezhi , in the bactrian territori in the earli 1st centuri . it spread to encompass much of modern-day territori of uzbekistan , afghanistan , pakistan and northern india . the sasanian or sassanid empir offici known as eranshahr wa the last iranian empir befor the earli muslim conquest of the 7th–8th centuri ad . name after the hous of sasan , it endur for over four centuri , from 224 to 651 ad , make it the longest-liv persian imperi dynasti . [","kushano-sasanian kingdom ( also call kushanshah , or koshano shao in bactrian , or indo-sasanian ) is a historiograph term use by modern scholar to refer to a branch of the sasanian persian who establish their rule in bactria dure the 3rd and 4th centuri ce at the expens of the declin kushan . they captur the provinc of sogdiana , bactria and gandhara from the kushan in 225 ce . the sasanian establish governor for the sasanian empir , who mint their own coinag and took the titl of kushansha , i.e . `` king of the kushan '' . they are sometim consid as form a `` sub-kingdom '' insid the sassanid empir .",information_extract
give me a list of thing that pose a challeng to crypto,,"1 ) crypto is an invent that ha yet to find a real life purpos . bitcoin narr ha chang from a peer to peer payment processor to now be store of valu . 2 ) crypto also is ban in sever countri . that is a challeng with wider adopt 3 ) crypto is also bound to a regulatori event that could bring it to grind halt 4 ) there 's also a grow concern around energi consumpt of them mine rig . 5 ) in recent event , the demis of major crypto exchang like ftx ha also lead to poor optic",brainstorm
